instance,n,Q,horizon,solver,cost,templates,solve_seconds,solve_seconds_min,solve_seconds_spread,repeats,wall_seconds
Instances/Instances 1/brd14051_05.gt,14050,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1236617.0,184,0.004257400,0.004257400,0.0000,1,0.020326
Instances/Instances 1/brd14051_06.gt,14050,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,768899.0,76,0.002872000,0.002872000,0.0000,1,0.019226
Instances/Instances 1/brd14051_07.gt,14050,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,613871.0,40,0.002110500,0.002110500,0.0000,1,0.017476
Instances/Instances 1/brd14051_08.gt,14050,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,535568.0,20,0.001786100,0.001786100,0.0000,1,0.018041
Instances/Instances 1/brd14051_09.gt,14050,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,494413.0,9,0.001043000,0.001043000,0.0000,1,0.014837
Instances/Instances 1/brd14051_10.gt,14050,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,487545.0,7,0.001139000,0.001139000,0.0000,1,0.015284
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.001039900,0.001039900,0.0000,1,0.010348
Instances/Instances 1/ca4663_02.gt,4662,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000946400,0.000946400,0.0000,1,0.010461
Instances/Instances 1/ca4663_03.gt,4662,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000801200,0.000801200,0.0000,1,0.010532
Instances/Instances 1/ca4663_04.gt,4662,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000720900,0.000720900,0.0000,1,0.013913
Instances/Instances 1/ca4663_05.gt,4662,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000591600,0.000591600,0.0000,1,0.012716
Instances/Instances 1/ca4663_06.gt,4662,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000457400,0.000457400,0.0000,1,0.011403
Instances/Instances 1/ca4663_07.gt,4662,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000525800,0.000525800,0.0000,1,0.010978
Instances/Instances 1/ca4663_08.gt,4662,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000570300,0.000570300,0.0000,1,0.011148
Instances/Instances 1/ca4663_09.gt,4662,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000554500,0.000554500,0.0000,1,0.010955
Instances/Instances 1/ca4663_10.gt,4662,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,0.000534500,0.000534500,0.0000,1,0.010078
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,23377.0,36,0.000078800,0.000078800,0.0000,1,0.007175
