instance,n,Q,horizon,solver,cost,templates,solve_seconds,solve_seconds_min,solve_seconds_spread,repeats,wall_seconds
Instances/Instances 1/ch150_08.gt,149,20000.0,86400.0,PTVRP_CONT,7281.0,1,0.000063300,0.000063300,0.0000,1,0.006363
Instances/Instances 1/ch150_09.gt,149,50000.0,86400.0,PTVRP_CONT,7281.0,1,0.000063200,0.000063200,0.0000,1,0.00597
Instances/Instances 1/ch150_10.gt,149,100000.0,86400.0,PTVRP_CONT,7281.0,1,0.000063100,0.000063100,0.0000,1,0.005335
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP_CONT,314697654.0,10228,11.814513152,11.814513152,0.0000,1,11.868317
Instances/Instances 1/ch71009_02.gt,71008,200.0,86400.0,PTVRP_CONT,157714607.0,6667,11.903043725,11.903043725,0.0000,1,11.973303
Instances/Instances 1/ch71009_03.gt,71008,500.0,86400.0,PTVRP_CONT,64684308.0,3536,11.747548003,11.747548003,0.0000,1,11.852619
Instances/Instances 1/ch71009_04.gt,71008,1000.0,86400.0,PTVRP_CONT,34256373.0,1837,11.832310895,11.832310895,0.0000,1,11.887115
Instances/Instances 1/ch71009_05.gt,71008,2000.0,86400.0,PTVRP_CONT,19367843.0,923,11.865132555,11.865132555,0.0000,1,11.924515
Instances/Instances 1/ch71009_06.gt,71008,5000.0,86400.0,PTVRP_CONT,10872483.0,375,11.798212533,11.798212533,0.0000,1,11.872071
Instances/Instances 1/ch71009_07.gt,71008,10000.0,86400.0,PTVRP_CONT,8261810.0,204,12.034298408,12.034298408,0.0000,1,12.094033
Instances/Instances 1/ch71009_08.gt,71008,20000.0,86400.0,PTVRP_CONT,7108473.0,120,11.904709794,11.904709794,0.0000,1,11.963316
Instances/Instances 1/ch71009_09.gt,71008,50000.0,86400.0,PTVRP_CONT,6671779.0,84,11.860007688,11.860007688,0.0000,1,11.915352
Instances/Instances 1/ch71009_10.gt,71008,100000.0,86400.0,PTVRP_CONT,6650715.0,82,11.894955324,11.894955324,0.0000,1,11.948549
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP_CONT,768417.0,261,0.004353800,0.004353800,0.0000,1,0.01175
Instances/Instances 1/d1291_02.gt,1290,200.0,86400.0,PTVRP_CONT,367546.0,158,0.004292500,0.004292500,0.0000,1,0.011097
Instances/Instances 1/d1291_03.gt,1290,500.0,86400.0,PTVRP_CONT,178154.0,70,0.004287700,0.004287700,0.0000,1,0.011575
Instances/Instances 1/d1291_04.gt,1290,1000.0,86400.0,PTVRP_CONT,110025.0,35,0.004291200,0.004291200,0.0000,1,0.011761
Instances/Instances 1/d1291_05.gt,1290,2000.0,86400.0,PTVRP_CONT,78610.0,18,0.004399600,0.004399600,0.0000,1,0.012147
Instances/Instances 1/d1291_06.gt,1290,5000.0,86400.0,PTVRP_CONT,61167.0,8,0.004491900,0.004491900,0.0000,1,0.014578
Instances/Instances 1/d1291_07.gt,1290,10000.0,86400.0,PTVRP_CONT,56230.0,5,0.004603800,0.004603800,0.0000,1,0.01414
Instances/Instances 1/d1291_08.gt,1290,20000.0,86400.0,PTVRP_CONT,53710.0,2,0.004706800,0.004706800,0.0000,1,0.012095
Instances/Instances 1/d1291_09.gt,1290,50000.0,86400.0,PTVRP_CONT,53688.0,1,0.004611500,0.004611500,0.0000,1,0.012477
Instances/Instances 1/d1291_10.gt,1290,100000.0,86400.0,PTVRP_CONT,53688.0,1,0.004605300,0.004605300,0.0000,1,0.013776
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP_CONT,53788704.0,2388,0.551268607,0.551268607,0.0000,1,0.567747
Instances/Instances 1/d15112_02.gt,15111,200.0,86400.0,PTVRP_CONT,27647861.0,1647,0.541687307,0.541687307,0.0000,1,0.559325
Instances/Instances 1/d15112_03.gt,15111,500.0,86400.0,PTVRP_CONT,11626925.0,784,0.529589107,0.529589107,0.0000,1,0.546252
Instances/Instances 1/d15112_04.gt,15111,1000.0,86400.0,PTVRP_CONT,6549550.0,399,0.532156307,0.532156307,0.0000,1,0.553955
Instances/Instances 1/d15112_05.gt,15111,2000.0,86400.0,PTVRP_CONT,3986206.0,197,0.529087207,0.529087207,0.0000,1,0.549881
Instances/Instances 1/d15112_06.gt,15111,5000.0,86400.0,PTVRP_CONT,2517833.0,82,0.536938107,0.536938107,0.0000,1,0.56107
Instances/Instances 1/d15112_07.gt,15111,10000.0,86400.0,PTVRP_CONT,2016391.0,41,0.558087408,0.558087408,0.0000,1,0.577091
Instances/Instances 1/d15112_08.gt,15111,20000.0,86400.0,PTVRP_CONT,1832536.0,24,0.541399207,0.541399207,0.0000,1,0.56072
Instances/Instances 1/d15112_09.gt,15111,50000.0,86400.0,PTVRP_CONT,1819674.0,24,0.559067108,0.559067108,0.0000,1,0.579123
Instances/Instances 1/d15112_10.gt,15111,100000.0,86400.0,PTVRP_CONT,1819674.0,24,0.568488808,0.568488808,0.0000,1,0.595362
Instances/Instances 1/d1655_01.gt,1654,100.0,86400.0,PTVRP_CONT,920931.0,323,0.006935200,0.006935200,0.0000,1,0.017446
Instances/Instances 1/d1655_02.gt,1654,200.0,86400.0,PTVRP_CONT,497810.0,213,0.007123300,0.007123300,0.0000,1,0.017136
Instances/Instances 1/d1655_03.gt,1654,500.0,86400.0,PTVRP_CONT,221226.0,87,0.007007700,0.007007700,0.0000,1,0.017547
Instances/Instances 1/d1655_04.gt,1654,1000.0,86400.0,PTVRP_CONT,139737.0,45,0.006946900,0.006946900,0.0000,1,0.014141
Instances/Instances 1/d1655_05.gt,1654,2000.0,86400.0,PTVRP_CONT,97963.0,24,0.007000000,0.007000000,0.0000,1,0.016362
Instances/Instances 1/d1655_06.gt,1654,5000.0,86400.0,PTVRP_CONT,74780.0,11,0.007256200,0.007256200,0.0000,1,0.016195
Instances/Instances 1/d1655_07.gt,1654,10000.0,86400.0,PTVRP_CONT,67599.0,5,0.007321900,0.007321900,0.0000,1,0.017485
Instances/Instances 1/d1655_08.gt,1654,20000.0,86400.0,PTVRP_CONT,66176.0,3,0.007525401,0.007525401,0.0000,1,0.016255
Instances/Instances 1/d1655_09.gt,1654,50000.0,86400.0,PTVRP_CONT,65597.0,1,0.007679000,0.007679000,0.0000,1,0.016344
Instances/Instances 1/d1655_10.gt,1654,100000.0,86400.0,PTVRP_CONT,65597.0,1,0.007552900,0.007552900,0.0000,1,0.015874
Instances/Instances 1/d18512_01.gt,18511,100.0,86400.0,PTVRP_CONT,24130075.0,2865,0.805961509,0.805961509,0.0000,1,0.828513
Instances/Instances 1/d18512_02.gt,18511,200.0,86400.0,PTVRP_CONT,12188367.0,1995,0.799036506,0.799036506,0.0000,1,0.820599
Instances/Instances 1/d18512_03.gt,18511,500.0,86400.0,PTVRP_CONT,5222711.0,960,0.817220606,0.817220606,0.0000,1,0.837833
Instances/Instances 1/d18512_04.gt,18511,1000.0,86400.0,PTVRP_CONT,2876916.0,483,0.796347606,0.796347606,0.0000,1,0.818013
Instances/Instances 1/d18512_05.gt,18511,2000.0,86400.0,PTVRP_CONT,1743333.0,242,0.810622106,0.810622106,0.0000,1,0.829251
Instances/Instances 1/d18512_06.gt,18511,5000.0,86400.0,PTVRP_CONT,1070282.0,99,0.811107306,0.811107306,0.0000,1,0.828155
Instances/Instances 1/d18512_07.gt,18511,10000.0,86400.0,PTVRP_CONT,848838.0,51,0.804873806,0.804873806,0.0000,1,0.8234
Instances/Instances 1/d18512_08.gt,18511,20000.0,86400.0,PTVRP_CONT,741916.0,26,0.819855106,0.819855106,0.0000,1,0.840593
Instances/Instances 1/d18512_09.gt,18511,50000.0,86400.0,PTVRP_CONT,677542.0,11,0.824364106,0.824364106,0.0000,1,0.846479
Instances/Instances 1/d18512_10.gt,18511,100000.0,86400.0,PTVRP_CONT,672457.0,9,0.836001007,0.836001007,0.0000,1,0.856828
Instances/Instances 1/d198_01.gt,197,100.0,86400.0,PTVRP_CONT,87758.0,48,0.000143100,0.000143100,0.0000,1,0.00762
Instances/Instances 1/d198_02.gt,197,200.0,86400.0,PTVRP_CONT,50344.0,28,0.000135000,0.000135000,0.0000,1,0.007668
Instances/Instances 1/d198_03.gt,197,500.0,86400.0,PTVRP_CONT,28510.0,12,0.000127200,0.000127200,0.0000,1,0.009119
Instances/Instances 1/d198_04.gt,197,1000.0,86400.0,PTVRP_CONT,20609.0,6,0.000119300,0.000119300,0.0000,1,0.008441
Instances/Instances 1/d198_05.gt,197,2000.0,86400.0,PTVRP_CONT,17770.0,3,0.000114400,0.000114400,0.0000,1,0.006721
Instances/Instances 1/d198_06.gt,197,5000.0,86400.0,PTVRP_CONT,17527.0,1,0.000109400,0.000109400,0.0000,1,0.006697
Instances/Instances 1/d198_07.gt,197,10000.0,86400.0,PTVRP_CONT,17527.0,1,0.000109400,0.000109400,0.0000,1,0.006862
Instances/Instances 1/d198_08.gt,197,20000.0,86400.0,PTVRP_CONT,17527.0,1,0.000109400,0.000109400,0.0000,1,0.00715
Instances/Instances 1/d198_09.gt,197,50000.0,86400.0,PTVRP_CONT,17527.0,1,0.000109300,0.000109300,0.0000,1,0.006234
Instances/Instances 1/d198_10.gt,197,100000.0,86400.0,PTVRP_CONT,17527.0,1,0.000109800,0.000109800,0.0000,1,0.00767
Instances/Instances 1/d2103_01.gt,2102,100.0,86400.0,PTVRP_CONT,1406040.0,385,0.010970600,0.010970600,0.0000,1,0.021307
Instances/Instances 1/d2103_02.gt,2102,200.0,86400.0,PTVRP_CONT,723617.0,260,0.010919100,0.010919100,0.0000,1,0.022547
Instances/Instances 1/d2103_03.gt,2102,500.0,86400.0,PTVRP_CONT,332914.0,114,0.011016601,0.011016601,0.0000,1,0.022046
Instances/Instances 1/d2103_04.gt,2102,1000.0,86400.0,PTVRP_CONT,199704.0,56,0.011148100,0.011148100,0.0000,1,0.018557
Instances/Instances 1/d2103_05.gt,2102,2000.0,86400.0,PTVRP_CONT,132584.0,31,0.011536000,0.011536000,0.0000,1,0.049895
Instances/Instances 1/d2103_06.gt,2102,5000.0,86400.0,PTVRP_CONT,100628.0,11,0.011480801,0.011480801,0.0000,1,0.033933
Instances/Instances 1/d2103_07.gt,2102,10000.0,86400.0,PTVRP_CONT,91251.0,6,0.011988700,0.011988700,0.0000,1,0.020642
Instances/Instances 1/d2103_08.gt,2102,20000.0,86400.0,PTVRP_CONT,86881.0,3,0.012155500,0.012155500,0.0000,1,0.020999
Instances/Instances 1/d2103_09.gt,2102,50000.0,86400.0,PTVRP_CONT,84458.0,2,0.012341900,0.012341900,0.0000,1,0.020835
Instances/Instances 1/d2103_10.gt,2102,100000.0,86400.0,PTVRP_CONT,84457.0,1,0.012181501,0.012181501,0.0000,1,0.021232
Instances/Instances 1/d493_01.gt,492,100.0,86400.0,PTVRP_CONT,218874.0,121,0.000699400,0.000699400,0.0000,1,0.009412
Instances/Instances 1/d493_02.gt,492,200.0,86400.0,PTVRP_CONT,117917.0,63,0.000698800,0.000698800,0.0000,1,0.007369
Instances/Instances 1/d493_03.gt,492,500.0,86400.0,PTVRP_CONT,66689.0,27,0.000689500,0.000689500,0.0000,1,0.00755
Instances/Instances 1/d493_04.gt,492,1000.0,86400.0,PTVRP_CONT,50395.0,14,0.000690600,0.000690600,0.0000,1,0.007047
Instances/Instances 1/d493_05.gt,492,2000.0,86400.0,PTVRP_CONT,42464.0,7,0.000687100,0.000687100,0.0000,1,0.00776
Instances/Instances 1/d493_06.gt,492,5000.0,86400.0,PTVRP_CONT,38646.0,4,0.000688900,0.000688900,0.0000,1,0.007693
Instances/Instances 1/d493_07.gt,492,10000.0,86400.0,PTVRP_CONT,37916.0,2,0.000692600,0.000692600,0.0000,1,0.00655
Instances/Instances 1/d493_08.gt,492,20000.0,86400.0,PTVRP_CONT,37734.0,1,0.000673100,0.000673100,0.0000,1,0.007392
Instances/Instances 1/d493_09.gt,492,50000.0,86400.0,PTVRP_CONT,37734.0,1,0.000673200,0.000673200,0.0000,1,0.00689
Instances/Instances 1/d493_10.gt,492,100000.0,86400.0,PTVRP_CONT,37734.0,1,0.000685700,0.000685700,0.0000,1,0.007003
Instances/Instances 1/d657_01.gt,656,100.0,86400.0,PTVRP_CONT,374201.0,152,0.001182000,0.001182000,0.0000,1,0.009173
Instances/Instances 1/d657_02.gt,656,200.0,86400.0,PTVRP_CONT,209715.0,90,0.001188300,0.001188300,0.0000,1,0.007646
Instances/Instances 1/d657_03.gt,656,500.0,86400.0,PTVRP_CONT,109006.0,36,0.001156600,0.001156600,0.0000,1,0.008771
Instances/Instances 1/d657_04.gt,656,1000.0,86400.0,PTVRP_CONT,78389.0,19,0.001152300,0.001152300,0.0000,1,0.007365
Instances/Instances 1/d657_05.gt,656,2000.0,86400.0,PTVRP_CONT,62326.0,10,0.001192000,0.001192000,0.0000,1,0.007396
Instances/Instances 1/d657_06.gt,656,5000.0,86400.0,PTVRP_CONT,53349.0,4,0.001203000,0.001203000,0.0000,1,0.008045
Instances/Instances 1/d657_07.gt,656,10000.0,86400.0,PTVRP_CONT,52507.0,2,0.001219100,0.001219100,0.0000,1,0.010218
Instances/Instances 1/d657_08.gt,656,20000.0,86400.0,PTVRP_CONT,52008.0,1,0.001202200,0.001202200,0.0000,1,0.008745
Instances/Instances 1/d657_09.gt,656,50000.0,86400.0,PTVRP_CONT,52008.0,1,0.001201800,0.001201800,0.0000,1,0.009483
Instances/Instances 1/d657_10.gt,656,100000.0,86400.0,PTVRP_CONT,52008.0,1,0.001267700,0.001267700,0.0000,1,0.008676
Instances/Instances 1/dj38_01.gt,37,100.0,86400.0,PTVRP_CONT,17501.0,12,0.000009600,0.000009600,0.0000,1,0.007657
Instances/Instances 1/dj38_02.gt,37,200.0,86400.0,PTVRP_CONT,11667.0,6,0.000007100,0.000007100,0.0000,1,0.006598
Instances/Instances 1/dj38_03.gt,37,500.0,86400.0,PTVRP_CONT,8402.0,3,0.000006300,0.000006300,0.0000,1,0.006594
Instances/Instances 1/dj38_04.gt,37,1000.0,86400.0,PTVRP_CONT,8048.0,1,0.000004700,0.000004700,0.0000,1,0.005268
Instances/Instances 1/dj38_05.gt,37,2000.0,86400.0,PTVRP_CONT,8048.0,1,0.000004800,0.000004800,0.0000,1,0.005781
Instances/Instances 1/dj38_06.gt,37,5000.0,86400.0,PTVRP_CONT,8048.0,1,0.000004800,0.000004800,0.0000,1,0.007283
Instances/Instances 1/dj38_07.gt,37,10000.0,86400.0,PTVRP_CONT,8048.0,1,0.000005000,0.000005000,0.0000,1,0.007566
Instances/Instances 1/dj38_08.gt,37,20000.0,86400.0,PTVRP_CONT,8048.0,1,0.000004800,0.000004800,0.0000,1,0.007159
