instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001044000,0.009802
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001027800,0.011624
Instances/Instances 1/ca4663_04.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001063200,0.01116
Instances/Instances 1/ca4663_05.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001030300,0.009477
Instances/Instances 1/ca4663_06.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001029800,0.012216
Instances/Instances 1/ca4663_07.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001023400,0.011742
Instances/Instances 1/ca4663_08.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001037800,0.014345
Instances/Instances 1/ca4663_09.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001030600,0.012562
Instances/Instances 1/ca4663_10.gt,4662,100.0,86400.0,PTVRP_LAYERED_SAFE,NO SOLUTION,,0.001017000,0.012219
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23377.0,36,0.000080300,0.006783
Instances/Instances 1/ch130_02.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,24193.0,34,0.000080900,0.006704
Instances/Instances 1/ch130_03.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23296.0,33,0.000081600,0.006257
Instances/Instances 1/ch130_04.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,25835.0,36,0.000082800,0.006466
Instances/Instances 1/ch130_05.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,22889.0,37,0.000078300,0.006099
Instances/Instances 1/ch130_06.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,22600.0,35,0.000079500,0.005901
Instances/Instances 1/ch130_07.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23255.0,35,0.000078600,0.006423
Instances/Instances 1/ch130_08.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,25154.0,37,0.000115000,0.00718
Instances/Instances 1/ch130_09.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23844.0,33,0.000085200,0.007683
Instances/Instances 1/ch130_10.gt,129,100.0,86400.0,PTVRP_LAYERED_SAFE,23294.0,36,0.000080900,0.007326
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,28985.0,44,0.000102100,0.005439
Instances/Instances 1/ch150_02.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,25895.0,38,0.000095100,0.005557
Instances/Instances 1/ch150_03.gt,149,100.0,86400.0,PTVRP_LAYERED_SAFE,26227.0,40,0.000097600,0.005457
