instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/ch130_04.gt,129,100.0,86400.0,PTVRP,25835.0,36,0.000067600,0.006928
Instances/Instances 1/ch130_05.gt,129,100.0,86400.0,PTVRP,22889.0,37,0.000067700,0.007061
Instances/Instances 1/ch130_06.gt,129,100.0,86400.0,PTVRP,22600.0,35,0.000066700,0.005888
Instances/Instances 1/ch130_07.gt,129,100.0,86400.0,PTVRP,23255.0,35,0.000066601,0.006368
Instances/Instances 1/ch130_08.gt,129,100.0,86400.0,PTVRP,25154.0,37,0.000065000,0.006934
Instances/Instances 1/ch130_09.gt,129,100.0,86400.0,PTVRP,23844.0,33,0.000065600,0.00642
Instances/Instances 1/ch130_10.gt,129,100.0,86400.0,PTVRP,23294.0,36,0.000065000,0.006647
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP,28985.0,44,0.000077300,0.006122
Instances/Instances 1/ch150_02.gt,149,100.0,86400.0,PTVRP,25895.0,38,0.000079700,0.006073
Instances/Instances 1/ch150_03.gt,149,100.0,86400.0,PTVRP,26227.0,40,0.000079401,0.005259
Instances/Instances 1/ch150_04.gt,149,100.0,86400.0,PTVRP,27859.0,42,0.000080700,0.006111
Instances/Instances 1/ch150_05.gt,149,100.0,86400.0,PTVRP,27906.0,43,0.000080500,0.008015
Instances/Instances 1/ch150_06.gt,149,100.0,86400.0,PTVRP,26908.0,39,0.000079700,0.005927
Instances/Instances 1/ch150_07.gt,149,100.0,86400.0,PTVRP,27804.0,43,0.000079700,0.006859
Instances/Instances 1/ch150_08.gt,149,100.0,86400.0,PTVRP,28592.0,37,0.000077900,0.008172
Instances/Instances 1/ch150_09.gt,149,100.0,86400.0,PTVRP,27636.0,40,0.000080700,0.007921
Instances/Instances 1/ch150_10.gt,149,100.0,86400.0,PTVRP,27526.0,39,0.000079100,0.006615
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP,314697654.0,10228,0.016619916,0.07579
Instances/Instances 1/ch71009_02.gt,71008,100.0,86400.0,PTVRP,315588574.0,10258,0.016505416,0.085007
Instances/Instances 1/ch71009_03.gt,71008,100.0,86400.0,PTVRP,314780250.0,10214,0.016611315,0.074655
Instances/Instances 1/ch71009_04.gt,71008,100.0,86400.0,PTVRP,315639950.0,10125,0.016446415,0.085653
Instances/Instances 1/ch71009_05.gt,71008,100.0,86400.0,PTVRP,314888615.0,10301,0.016317015,0.071652
Instances/Instances 1/ch71009_06.gt,71008,100.0,86400.0,PTVRP,315300472.0,10275,0.016550616,0.07593
Instances/Instances 1/ch71009_07.gt,71008,100.0,86400.0,PTVRP,314970528.0,10305,0.016419015,0.077383
Instances/Instances 1/ch71009_08.gt,71008,100.0,86400.0,PTVRP,315323807.0,10275,0.016405516,0.072863
Instances/Instances 1/ch71009_09.gt,71008,100.0,86400.0,PTVRP,315388172.0,10267,0.016492015,0.067314
Instances/Instances 1/ch71009_10.gt,71008,100.0,86400.0,PTVRP,314275319.0,10190,0.016431716,0.078376
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP,768417.0,261,0.000872101,0.008706
Instances/Instances 1/d1291_02.gt,1290,100.0,86400.0,PTVRP,700857.0,247,0.000913801,0.007248
Instances/Instances 1/d1291_03.gt,1290,100.0,86400.0,PTVRP,734697.0,249,0.000918101,0.007515
Instances/Instances 1/d1291_04.gt,1290,100.0,86400.0,PTVRP,719650.0,257,0.000896301,0.00782
Instances/Instances 1/d1291_05.gt,1290,100.0,86400.0,PTVRP,730335.0,243,0.000908001,0.007191
Instances/Instances 1/d1291_06.gt,1290,100.0,86400.0,PTVRP,728389.0,249,0.000902400,0.00746
Instances/Instances 1/d1291_07.gt,1290,100.0,86400.0,PTVRP,723980.0,256,0.000894101,0.008421
Instances/Instances 1/d1291_08.gt,1290,100.0,86400.0,PTVRP,719374.0,266,0.000919001,0.007287
Instances/Instances 1/d1291_09.gt,1290,100.0,86400.0,PTVRP,729990.0,254,0.000887101,0.007131
Instances/Instances 1/d1291_10.gt,1290,100.0,86400.0,PTVRP,722309.0,257,0.000884701,0.006343
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP,53788704.0,2388,0.003742503,0.017285
Instances/Instances 1/d15112_02.gt,15111,100.0,86400.0,PTVRP,54066537.0,2465,0.003694003,0.019063
Instances/Instances 1/d15112_03.gt,15111,100.0,86400.0,PTVRP,53486510.0,2389,0.003698703,0.020146
Instances/Instances 1/d15112_04.gt,15111,100.0,86400.0,PTVRP,53894103.0,2382,0.003689403,0.02132
Instances/Instances 1/d15112_05.gt,15111,100.0,86400.0,PTVRP,53460057.0,2426,0.003710603,0.022921
Instances/Instances 1/d15112_06.gt,15111,100.0,86400.0,PTVRP,54161669.0,2467,0.003714903,0.021821
