instance,n,Q,horizon,solver,cost,templates,solve_seconds,solve_seconds_min,solve_seconds_spread,repeats,wall_seconds
Instances/Instances 1/brd14051_02.gt,14050,200.0,86400.0,PTVRP_LAYERED_CONT,8596446.0,1486,0.492463602,0.492463602,0.0000,1,0.505955
Instances/Instances 1/brd14051_03.gt,14050,500.0,86400.0,PTVRP_LAYERED_CONT,3646827.0,737,0.214667501,0.214667501,0.0000,1,0.227771
Instances/Instances 1/brd14051_04.gt,14050,1000.0,86400.0,PTVRP_LAYERED_CONT,2040540.0,368,0.116336201,0.116336201,0.0000,1,0.130032
Instances/Instances 1/brd14051_05.gt,14050,2000.0,86400.0,PTVRP_LAYERED_CONT,1236617.0,184,0.051271500,0.051271500,0.0000,1,0.063777
Instances/Instances 1/brd14051_06.gt,14050,5000.0,86400.0,PTVRP_LAYERED_CONT,768899.0,76,0.022796200,0.022796200,0.0000,1,0.035513
Instances/Instances 1/brd14051_07.gt,14050,10000.0,86400.0,PTVRP_LAYERED_CONT,613871.0,40,0.013904200,0.013904200,0.0000,1,0.027193
Instances/Instances 1/brd14051_08.gt,14050,20000.0,86400.0,PTVRP_LAYERED_CONT,535568.0,20,0.005008000,0.005008000,0.0000,1,0.018402
Instances/Instances 1/brd14051_09.gt,14050,50000.0,86400.0,PTVRP_LAYERED_CONT,494413.0,9,0.002467300,0.002467300,0.0000,1,0.014784
Instances/Instances 1/brd14051_10.gt,14050,100000.0,86400.0,PTVRP_LAYERED_CONT,487545.0,7,0.002384600,0.002384600,0.0000,1,0.014707
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.108593000,0.108593000,0.0000,1,0.118521
Instances/Instances 1/ca4663_02.gt,4662,200.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.061941600,0.061941600,0.0000,1,0.069577
Instances/Instances 1/ca4663_03.gt,4662,500.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.027436000,0.027436000,0.0000,1,0.039911
Instances/Instances 1/ca4663_04.gt,4662,1000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.009832000,0.009832000,0.0000,1,0.017572
Instances/Instances 1/ca4663_05.gt,4662,2000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.005174300,0.005174300,0.0000,1,0.012789
Instances/Instances 1/ca4663_06.gt,4662,5000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.002424900,0.002424900,0.0000,1,0.009918
Instances/Instances 1/ca4663_07.gt,4662,10000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.001781100,0.001781100,0.0000,1,0.009352
Instances/Instances 1/ca4663_08.gt,4662,20000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.001832900,0.001832900,0.0000,1,0.009422
Instances/Instances 1/ca4663_09.gt,4662,50000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.003080800,0.003080800,0.0000,1,0.010524
Instances/Instances 1/ca4663_10.gt,4662,100000.0,86400.0,PTVRP_LAYERED_CONT,NO SOLUTION,,0.004372900,0.004372900,0.0000,1,0.012078
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LAYERED_CONT,23377.0,36,0.000087700,0.000087700,0.0000,1,0.004923
Instances/Instances 1/ch130_02.gt,129,200.0,86400.0,PTVRP_LAYERED_CONT,14025.0,20,0.000046800,0.000046800,0.0000,1,0.004969
Instances/Instances 1/ch130_03.gt,129,500.0,86400.0,PTVRP_LAYERED_CONT,9031.0,8,0.000023300,0.000023300,0.0000,1,0.004808
Instances/Instances 1/ch130_04.gt,129,1000.0,86400.0,PTVRP_LAYERED_CONT,7424.0,5,0.000014800,0.000014800,0.0000,1,0.004741
Instances/Instances 1/ch130_05.gt,129,2000.0,86400.0,PTVRP_LAYERED_CONT,6533.0,2,0.000008800,0.000008800,0.0000,1,0.004895
Instances/Instances 1/ch130_06.gt,129,5000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005400,0.000005400,0.0000,1,0.004827
Instances/Instances 1/ch130_07.gt,129,10000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005600,0.000005600,0.0000,1,0.00479
Instances/Instances 1/ch130_08.gt,129,20000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005800,0.000005800,0.0000,1,0.004844
Instances/Instances 1/ch130_09.gt,129,50000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005900,0.000005900,0.0000,1,0.004856
Instances/Instances 1/ch130_10.gt,129,100000.0,86400.0,PTVRP_LAYERED_CONT,6291.0,1,0.000005800,0.000005800,0.0000,1,0.004728
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_LAYERED_CONT,28985.0,44,0.000116900,0.000116900,0.0000,1,0.004871
Instances/Instances 1/ch150_02.gt,149,200.0,86400.0,PTVRP_LAYERED_CONT,15615.0,21,0.000058000,0.000058000,0.0000,1,0.004855
Instances/Instances 1/ch150_03.gt,149,500.0,86400.0,PTVRP_LAYERED_CONT,9611.0,9,0.000028600,0.000028600,0.0000,1,0.004757
Instances/Instances 1/ch150_04.gt,149,1000.0,86400.0,PTVRP_LAYERED_CONT,8060.0,5,0.000017200,0.000017200,0.0000,1,0.004981
Instances/Instances 1/ch150_05.gt,149,2000.0,86400.0,PTVRP_LAYERED_CONT,7467.0,3,0.000010400,0.000010400,0.0000,1,0.004803
Instances/Instances 1/ch150_06.gt,149,5000.0,86400.0,PTVRP_LAYERED_CONT,7281.0,1,0.000006200,0.000006200,0.0000,1,0.004808
Instances/Instances 1/ch150_07.gt,149,10000.0,86400.0,PTVRP_LAYERED_CONT,7281.0,1,0.000006100,0.000006100,0.0000,1,0.004741
Instances/Instances 1/ch150_08.gt,149,20000.0,86400.0,PTVRP_LAYERED_CONT,7281.0,1,0.000006100,0.000006100,0.0000,1,0.004866
Instances/Instances 1/ch150_09.gt,149,50000.0,86400.0,PTVRP_LAYERED_CONT,7281.0,1,0.000005900,0.000005900,0.0000,1,0.004889
Instances/Instances 1/ch150_10.gt,149,100000.0,86400.0,PTVRP_LAYERED_CONT,7281.0,1,0.000006200,0.000006200,0.0000,1,0.004909
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP_LAYERED_CONT,314697654.0,10228,19.372714757,19.372714757,0.0000,1,19.429145
Instances/Instances 1/ch71009_02.gt,71008,200.0,86400.0,PTVRP_LAYERED_CONT,157714607.0,6667,9.020705482,9.020705482,0.0000,1,9.079422
Instances/Instances 1/ch71009_03.gt,71008,500.0,86400.0,PTVRP_LAYERED_CONT,64684308.0,3536,3.680232028,3.680232028,0.0000,1,3.747524
Instances/Instances 1/ch71009_04.gt,71008,1000.0,86400.0,PTVRP_LAYERED_CONT,34256373.0,1837,1.938858040,1.938858040,0.0000,1,1.997603
Instances/Instances 1/ch71009_05.gt,71008,2000.0,86400.0,PTVRP_LAYERED_CONT,19367843.0,923,1.048577089,1.048577089,0.0000,1,1.120492
Instances/Instances 1/ch71009_06.gt,71008,5000.0,86400.0,PTVRP_LAYERED_CONT,10872483.0,375,0.409564395,0.409564395,0.0000,1,0.463175
Instances/Instances 1/ch71009_07.gt,71008,10000.0,86400.0,PTVRP_LAYERED_CONT,8261810.0,204,0.200666198,0.200666198,0.0000,1,0.265523
Instances/Instances 1/ch71009_08.gt,71008,20000.0,86400.0,PTVRP_LAYERED_CONT,7108473.0,120,0.108159593,0.108159593,0.0000,1,0.163272
Instances/Instances 1/ch71009_09.gt,71008,50000.0,86400.0,PTVRP_LAYERED_CONT,6671779.0,84,0.057149296,0.057149296,0.0000,1,0.114785
Instances/Instances 1/ch71009_10.gt,71008,100000.0,86400.0,PTVRP_LAYERED_CONT,6650715.0,82,0.057824796,0.057824796,0.0000,1,0.113823
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP_LAYERED_CONT,768417.0,261,0.006992200,0.006992200,0.0000,1,0.017084
Instances/Instances 1/d1291_02.gt,1290,200.0,86400.0,PTVRP_LAYERED_CONT,367546.0,158,0.003503800,0.003503800,0.0000,1,0.012972
Instances/Instances 1/d1291_03.gt,1290,500.0,86400.0,PTVRP_LAYERED_CONT,178154.0,70,0.001540300,0.001540300,0.0000,1,0.01089
Instances/Instances 1/d1291_04.gt,1290,1000.0,86400.0,PTVRP_LAYERED_CONT,110025.0,35,0.000844600,0.000844600,0.0000,1,0.007996
Instances/Instances 1/d1291_05.gt,1290,2000.0,86400.0,PTVRP_LAYERED_CONT,78610.0,18,0.000426300,0.000426300,0.0000,1,0.008122
Instances/Instances 1/d1291_06.gt,1290,5000.0,86400.0,PTVRP_LAYERED_CONT,61167.0,8,0.000183500,0.000183500,0.0000,1,0.008418
Instances/Instances 1/d1291_07.gt,1290,10000.0,86400.0,PTVRP_LAYERED_CONT,56230.0,5,0.000099500,0.000099500,0.0000,1,0.007318
Instances/Instances 1/d1291_08.gt,1290,20000.0,86400.0,PTVRP_LAYERED_CONT,53710.0,2,0.000056100,0.000056100,0.0000,1,0.008284
Instances/Instances 1/d1291_09.gt,1290,50000.0,86400.0,PTVRP_LAYERED_CONT,53688.0,1,0.000034800,0.000034800,0.0000,1,0.007849
Instances/Instances 1/d1291_10.gt,1290,100000.0,86400.0,PTVRP_LAYERED_CONT,53688.0,1,0.000035500,0.000035500,0.0000,1,0.007719
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP_LAYERED_CONT,53788704.0,2388,0.797981846,0.797981846,0.0000,1,0.814796
Instances/Instances 1/d15112_02.gt,15111,200.0,86400.0,PTVRP_LAYERED_CONT,27647861.0,1647,0.422636072,0.422636072,0.0000,1,0.440811
Instances/Instances 1/d15112_03.gt,15111,500.0,86400.0,PTVRP_LAYERED_CONT,11626925.0,784,0.169463688,0.169463688,0.0000,1,0.186702
Instances/Instances 1/d15112_04.gt,15111,1000.0,86400.0,PTVRP_LAYERED_CONT,6549550.0,399,0.090636494,0.090636494,0.0000,1,0.109591
Instances/Instances 1/d15112_05.gt,15111,2000.0,86400.0,PTVRP_LAYERED_CONT,3986206.0,197,0.044970097,0.044970097,0.0000,1,0.06235
Instances/Instances 1/d15112_06.gt,15111,5000.0,86400.0,PTVRP_LAYERED_CONT,2517833.0,82,0.018730999,0.018730999,0.0000,1,0.037614
Instances/Instances 1/d15112_07.gt,15111,10000.0,86400.0,PTVRP_LAYERED_CONT,2016391.0,41,0.010207300,0.010207300,0.0000,1,0.032826
Instances/Instances 1/d15112_08.gt,15111,20000.0,86400.0,PTVRP_LAYERED_CONT,1832536.0,24,0.006010900,0.006010900,0.0000,1,0.024899
Instances/Instances 1/d15112_09.gt,15111,50000.0,86400.0,PTVRP_LAYERED_CONT,1819674.0,24,0.005456100,0.005456100,0.0000,1,0.025308
Instances/Instances 1/d15112_10.gt,15111,100000.0,86400.0,PTVRP_LAYERED_CONT,1819674.0,24,0.008160899,0.008160899,0.0000,1,0.028963
Instances/Instances 1/d1655_01.gt,1654,100.0,86400.0,PTVRP_LAYERED_CONT,920931.0,323,0.010667100,0.010667100,0.0000,1,0.021262
Instances/Instances 1/d1655_02.gt,1654,200.0,86400.0,PTVRP_LAYERED_CONT,497810.0,213,0.005730999,0.005730999,0.0000,1,0.015661
Instances/Instances 1/d1655_03.gt,1654,500.0,86400.0,PTVRP_LAYERED_CONT,221226.0,87,0.002291400,0.002291400,0.0000,1,0.012866
Instances/Instances 1/d1655_04.gt,1654,1000.0,86400.0,PTVRP_LAYERED_CONT,139737.0,45,0.001193500,0.001193500,0.0000,1,0.011037
Instances/Instances 1/d1655_05.gt,1654,2000.0,86400.0,PTVRP_LAYERED_CONT,97963.0,24,0.000649600,0.000649600,0.0000,1,0.007789
Instances/Instances 1/d1655_06.gt,1654,5000.0,86400.0,PTVRP_LAYERED_CONT,74780.0,11,0.000305100,0.000305100,0.0000,1,0.008225
Instances/Instances 1/d1655_07.gt,1654,10000.0,86400.0,PTVRP_LAYERED_CONT,67599.0,5,0.000165000,0.000165000,0.0000,1,0.006433
Instances/Instances 1/d1655_08.gt,1654,20000.0,86400.0,PTVRP_LAYERED_CONT,66176.0,3,0.000092600,0.000092600,0.0000,1,0.006628
Instances/Instances 1/d1655_09.gt,1654,50000.0,86400.0,PTVRP_LAYERED_CONT,65597.0,1,0.000053600,0.000053600,0.0000,1,0.007406
Instances/Instances 1/d1655_10.gt,1654,100000.0,86400.0,PTVRP_LAYERED_CONT,65597.0,1,0.000052500,0.000052500,0.0000,1,0.007462
Instances/Instances 1/d18512_01.gt,18511,100.0,86400.0,PTVRP_LAYERED_CONT,24130075.0,2865,1.199996019,1.199996019,0.0000,1,1.219693
Instances/Instances 1/d18512_02.gt,18511,200.0,86400.0,PTVRP_LAYERED_CONT,12188367.0,1995,0.628399157,0.628399157,0.0000,1,0.646903
Instances/Instances 1/d18512_03.gt,18511,500.0,86400.0,PTVRP_LAYERED_CONT,5222711.0,960,0.258163582,0.258163582,0.0000,1,0.279543
Instances/Instances 1/d18512_04.gt,18511,1000.0,86400.0,PTVRP_LAYERED_CONT,2876916.0,483,0.138463891,0.138463891,0.0000,1,0.158683
Instances/Instances 1/d18512_05.gt,18511,2000.0,86400.0,PTVRP_LAYERED_CONT,1743333.0,242,0.068780095,0.068780095,0.0000,1,0.094296
Instances/Instances 1/d18512_06.gt,18511,5000.0,86400.0,PTVRP_LAYERED_CONT,1070282.0,99,0.028591898,0.028591898,0.0000,1,0.04874
Instances/Instances 1/d18512_07.gt,18511,10000.0,86400.0,PTVRP_LAYERED_CONT,848838.0,51,0.014855499,0.014855499,0.0000,1,0.038956
Instances/Instances 1/d18512_08.gt,18511,20000.0,86400.0,PTVRP_LAYERED_CONT,741916.0,26,0.008249199,0.008249199,0.0000,1,0.027788
Instances/Instances 1/d18512_09.gt,18511,50000.0,86400.0,PTVRP_LAYERED_CONT,677542.0,11,0.003986099,0.003986099,0.0000,1,0.027373
Instances/Instances 1/d18512_10.gt,18511,100000.0,86400.0,PTVRP_LAYERED_CONT,672457.0,9,0.003779800,0.003779800,0.0000,1,0.02474
Instances/Instances 1/d198_01.gt,197,100.0,86400.0,PTVRP_LAYERED_CONT,87758.0,48,0.000216600,0.000216600,0.0000,1,0.008573
Instances/Instances 1/d198_02.gt,197,200.0,86400.0,PTVRP_LAYERED_CONT,50344.0,28,0.000104400,0.000104400,0.0000,1,0.008295
Instances/Instances 1/d198_03.gt,197,500.0,86400.0,PTVRP_LAYERED_CONT,28510.0,12,0.000047900,0.000047900,0.0000,1,0.007761
Instances/Instances 1/d198_04.gt,197,1000.0,86400.0,PTVRP_LAYERED_CONT,20609.0,6,0.000026200,0.000026200,0.0000,1,0.006525
Instances/Instances 1/d198_05.gt,197,2000.0,86400.0,PTVRP_LAYERED_CONT,17770.0,3,0.000014900,0.000014900,0.0000,1,0.0056
Instances/Instances 1/d198_06.gt,197,5000.0,86400.0,PTVRP_LAYERED_CONT,17527.0,1,0.000007000,0.000007000,0.0000,1,0.005348
Instances/Instances 1/d198_07.gt,197,10000.0,86400.0,PTVRP_LAYERED_CONT,17527.0,1,0.000007100,0.000007100,0.0000,1,0.006646
Instances/Instances 1/d198_08.gt,197,20000.0,86400.0,PTVRP_LAYERED_CONT,17527.0,1,0.000007000,0.000007000,0.0000,1,0.006245
Instances/Instances 1/d198_09.gt,197,50000.0,86400.0,PTVRP_LAYERED_CONT,17527.0,1,0.000006900,0.000006900,0.0000,1,0.005795
Instances/Instances 1/d198_10.gt,197,100000.0,86400.0,PTVRP_LAYERED_CONT,17527.0,1,0.000006900,0.000006900,0.0000,1,0.006474
Instances/Instances 1/d2103_01.gt,2102,100.0,86400.0,PTVRP_LAYERED_CONT,1406040.0,385,0.017324899,0.017324899,0.0000,1,0.024793
