instance,n,Q,horizon,solver,cost,templates,solve_seconds,wall_seconds
Instances/Instances 1/d15112_06.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,54161669.0,2467,0.004979001,0.0255
Instances/Instances 1/d15112_07.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,53932504.0,2431,0.004964800,0.025884
Instances/Instances 1/d15112_08.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,53980038.0,2398,0.005033101,0.023917
Instances/Instances 1/d15112_09.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,54274313.0,2419,0.004983400,0.023532
Instances/Instances 1/d15112_10.gt,15111,100.0,86400.0,PTVRP_CONT_FIX,53524620.0,2463,0.005311700,0.025464
Instances/Instances 1/d1655_01.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,920931.0,323,0.001342300,0.010355
Instances/Instances 1/d1655_02.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,952252.0,335,0.001343500,0.011422
Instances/Instances 1/d1655_03.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,916468.0,329,0.001354400,0.010923
Instances/Instances 1/d1655_04.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,925568.0,300,0.001345100,0.009637
Instances/Instances 1/d1655_05.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,925252.0,320,0.001359400,0.010218
Instances/Instances 1/d1655_06.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,927721.0,345,0.001342800,0.010606
Instances/Instances 1/d1655_07.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,941813.0,318,0.001354600,0.009331
Instances/Instances 1/d1655_08.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,943382.0,326,0.001349300,0.010932
Instances/Instances 1/d1655_09.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,950915.0,328,0.001333200,0.010606
Instances/Instances 1/d1655_10.gt,1654,100.0,86400.0,PTVRP_CONT_FIX,951356.0,324,0.001335200,0.009241
Instances/Instances 1/d18512_01.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,24130075.0,2865,0.012455700,0.035881
Instances/Instances 1/d18512_02.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,23849978.0,2831,0.012521800,0.034072
Instances/Instances 1/d18512_03.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,24156640.0,2808,0.012654900,0.03465
Instances/Instances 1/d18512_04.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,24042189.0,2869,0.012378800,0.032152
Instances/Instances 1/d18512_05.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,24062963.0,2846,0.012369900,0.032297
Instances/Instances 1/d18512_06.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,24093922.0,2834,0.012411300,0.033661
Instances/Instances 1/d18512_07.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,23909625.0,2781,0.012520801,0.032596
Instances/Instances 1/d18512_08.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,24112175.0,2865,0.012511400,0.032522
Instances/Instances 1/d18512_09.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,24267469.0,2864,0.012670100,0.032039
Instances/Instances 1/d18512_10.gt,18511,100.0,86400.0,PTVRP_CONT_FIX,24252644.0,2834,0.012374401,0.03027
Instances/Instances 1/d198_01.gt,197,100.0,86400.0,PTVRP_CONT_FIX,87758.0,48,0.000107400,0.009348
Instances/Instances 1/d198_02.gt,197,100.0,86400.0,PTVRP_CONT_FIX,92888.0,49,0.000103300,0.006216
