instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/bm33708_09.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54295177.0,4554,8,0.0642,,,,,,1,,1,,,,,2428908,1738304,
Instances/Instances 1/bm33708_10.gt,33707,100.0,86400.0,PTVRP_CONT_FIX,54086906.0,4551,7,0.0656,,,,,,0,,0,,,,,2433043,1740137,
Instances/Instances 1/brd14051_01.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16950869.0,2180,6,0.0299,,,,,,0,,0,,,,,1055737,806444,
Instances/Instances 1/brd14051_02.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16799684.0,2138,6,0.0349,,,,,,0,,0,,,,,1059516,809082,
Instances/Instances 1/brd14051_03.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16827003.0,2170,6,0.0303,,,,,,1,,1,,,,,1055171,805983,
Instances/Instances 1/brd14051_04.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16930477.0,2162,8,0.0319,,,,,,0,,0,,,,,1054389,804982,
Instances/Instances 1/brd14051_05.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16913156.0,2212,7,0.0304,,,,,,1,,1,,,,,1052715,803254,
Instances/Instances 1/brd14051_06.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16936254.0,2171,7,0.031,,,,,,1,,1,,,,,1055026,805506,
Instances/Instances 1/brd14051_07.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16950578.0,2187,7,0.0302,,,,,,1,,1,,,,,1050665,801362,
Instances/Instances 1/brd14051_08.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,17140786.0,2199,6,0.0295,,,,,,0,,0,,,,,1049065,800858,
Instances/Instances 1/brd14051_09.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16991877.0,2157,7,0.03,,,,,,1,,1,,,,,1050946,801341,
Instances/Instances 1/brd14051_10.gt,14050,100.0,86400.0,PTVRP_CONT_FIX,16864694.0,2161,6,0.0328,,,,,,0,,0,,,,,1057205,807364,
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,,0.009,,,,,,0,,0,,,,,67112,37713,
Instances/Instances 1/ca4663_02.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,,0.0086,,,,,,0,,0,,,,,66745,37356,
Instances/Instances 1/ca4663_03.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,,0.0086,,,,,,0,,0,,,,,66336,37229,
Instances/Instances 1/ca4663_04.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,,0.0087,,,,,,0,,0,,,,,66764,37431,
Instances/Instances 1/ca4663_05.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,,0.0085,,,,,,0,,0,,,,,67209,37679,
Instances/Instances 1/ca4663_06.gt,4662,100.0,86400.0,PTVRP_CONT_FIX,NO SOLUTION,,,0.0079,,,,,,0,,0,,,,,67105,37516,
