instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,768417.0,261,5,0.007,346,27,5,27534,21.3442,,0,0,7093,0,0,0,,,
Instances/Instances 1/d1291_02.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,700857.0,247,3,0.0068,317,27,6,26392,20.4589,,0,0,6651,0,0,0,,,
Instances/Instances 1/d1291_03.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,734697.0,249,5,0.0072,332,27,5,27146,21.0434,,0,0,6852,0,0,0,,,
Instances/Instances 1/d1291_04.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,719650.0,257,3,0.0079,327,27,5,26899,20.8519,,0,0,6771,0,0,0,,,
Instances/Instances 1/d1291_05.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,730335.0,245,4,0.0074,327,27,6,26816,20.7876,,2,0,6809,0,0,0,,,
Instances/Instances 1/d1291_06.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,728389.0,249,5,0.0079,329,26,5,26997,20.9279,,0,0,6950,0,0,0,,,
Instances/Instances 1/d1291_07.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,723980.0,256,5,0.0079,328,27,6,26947,20.8891,,0,0,6972,0,0,0,,,
Instances/Instances 1/d1291_08.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,719374.0,266,4,0.0076,328,27,6,26909,20.8597,,0,0,6804,0,0,0,,,
Instances/Instances 1/d1291_09.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,729990.0,254,4,0.0076,329,26,5,26901,20.8535,,0,0,6840,0,0,0,,,
Instances/Instances 1/d1291_10.gt,1290,100.0,86400.0,PTVRP_LAYERED_SAFE,722309.0,257,4,0.0089,326,26,6,26764,20.7473,,0,0,6951,0,0,0,,,
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,53788704.0,2388,5,0.0265,3841,17,6,135457,8.96413,,0,0,134730,0,0,0,,,
Instances/Instances 1/d15112_02.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,54066537.0,2465,5,0.03,3877,19,6,136049,9.00331,,0,0,133894,0,0,0,,,
Instances/Instances 1/d15112_03.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,53486510.0,2389,5,0.0259,3832,18,6,135422,8.96182,,0,0,135731,0,0,0,,,
Instances/Instances 1/d15112_04.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,53894103.0,2382,5,0.0271,3859,18,6,136054,9.00364,,0,0,135275,0,0,0,,,
Instances/Instances 1/d15112_05.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,53460057.0,2426,5,0.026,3829,18,6,135503,8.96718,,0,0,134216,0,0,0,,,
Instances/Instances 1/d15112_06.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,54161669.0,2467,5,0.0281,3882,18,6,136016,9.00113,,0,0,133905,0,0,0,,,
Instances/Instances 1/d15112_07.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,53932504.0,2432,6,0.0279,3870,18,6,136036,9.00245,,0,0,134136,0,0,0,,,
Instances/Instances 1/d15112_08.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,53980038.0,2397,5,0.0288,3861,18,6,135796,8.98657,,0,0,134262,0,0,0,,,
Instances/Instances 1/d15112_09.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,54274313.0,2419,6,0.0261,3876,17,6,135815,8.98782,,0,0,134365,0,0,0,,,
Instances/Instances 1/d15112_10.gt,15111,100.0,86400.0,PTVRP_LAYERED_SAFE,53524620.0,2463,5,0.0288,3839,18,6,135625,8.97525,,0,0,133837,0,0,0,,,
Instances/Instances 1/d1655_01.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,920931.0,323,4,0.0075,419,26,6,34932,21.1197,,0,0,8585,0,0,0,,,
Instances/Instances 1/d1655_02.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,952252.0,335,3,0.0084,430,27,6,35317,21.3525,,0,0,8592,0,0,0,,,
Instances/Instances 1/d1655_03.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,916468.0,329,4,0.0085,417,26,6,34993,21.1566,,0,0,8545,0,0,0,,,
Instances/Instances 1/d1655_04.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,925568.0,300,4,0.0094,420,27,5,35056,21.1947,,0,0,8758,0,0,0,,,
Instances/Instances 1/d1655_05.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,925252.0,320,5,0.0098,422,26,5,35121,21.234,,0,0,8588,0,0,0,,,
Instances/Instances 1/d1655_06.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,927721.0,345,4,0.0099,422,26,5,34997,21.159,,0,0,8450,0,0,0,,,
Instances/Instances 1/d1655_07.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,941813.0,318,4,0.0086,424,26,5,35108,21.2261,,0,0,8473,0,0,0,,,
Instances/Instances 1/d1655_08.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,943382.0,326,4,0.0112,427,27,6,35292,21.3374,,0,0,8730,0,0,0,,,
Instances/Instances 1/d1655_09.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,950915.0,328,4,0.0089,432,27,5,35386,21.3942,,0,0,8830,0,0,0,,,
Instances/Instances 1/d1655_10.gt,1654,100.0,86400.0,PTVRP_LAYERED_SAFE,951356.0,324,4,0.0081,430,27,5,35372,21.3857,,0,0,8824,0,0,0,,,
Instances/Instances 1/d18512_01.gt,18511,100.0,86400.0,PTVRP_LAYERED_SAFE,24130075.0,2865,6,0.0403,4740,27,8,337471,18.2308,,1,0,242574,0,0,0,,,
Instances/Instances 1/d18512_02.gt,18511,100.0,86400.0,PTVRP_LAYERED_SAFE,23849978.0,2832,5,0.0418,4693,26,9,336223,18.1634,,0,0,240427,0,0,0,,,
Instances/Instances 1/d18512_03.gt,18511,100.0,86400.0,PTVRP_LAYERED_SAFE,24156640.0,2808,7,0.0431,4733,27,8,337102,18.2109,,0,0,239301,0,0,0,,,
Instances/Instances 1/d18512_04.gt,18511,100.0,86400.0,PTVRP_LAYERED_SAFE,24042189.0,2869,6,0.041,4717,27,8,336735,18.1911,,0,0,240806,0,0,0,,,
