instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/brd14051_10.gt,14050,100000.0,86400.0,LINEAR,478784.0,5,,0.0092,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,LINEAR,62299111.0,1402,,0.0049,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_02.gt,4662,200.0,86400.0,LINEAR,28934815.0,645,,0.0049,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_03.gt,4662,500.0,86400.0,LINEAR,11943300.0,248,,0.0046,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_04.gt,4662,1000.0,86400.0,LINEAR,6512139.0,123,,0.0046,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_05.gt,4662,2000.0,86400.0,LINEAR,3804445.0,61,,0.0046,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_06.gt,4662,5000.0,86400.0,LINEAR,2227308.0,25,,0.0046,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_07.gt,4662,10000.0,86400.0,LINEAR,1730241.0,14,,0.0047,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_08.gt,4662,20000.0,86400.0,LINEAR,1475728.0,8,,0.0047,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_09.gt,4662,50000.0,86400.0,LINEAR,1355267.0,5,,0.0045,,,,,,,,,,,,,,,
Instances/Instances 1/ca4663_10.gt,4662,100000.0,86400.0,LINEAR,1313211.0,2,,0.0047,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,LINEAR,23495.0,40,,0.0022,,,,,,,,,,,,,,,
Instances/Instances 1/ch130_02.gt,129,200.0,86400.0,LINEAR,14025.0,20,,0.0021,,,,,,,,,,,,,,,
