instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/brd14051_02.gt,14050,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,8596446.0,1486,4,0.0334,1777,22,6,205848,14.6511,,0,0,151613,0,,,,,
Instances/Instances 1/brd14051_03.gt,14050,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,3646827.0,737,2,0.0243,715,15,3,140425,9.99466,,0,0,78307,0,,,,,
Instances/Instances 1/brd14051_04.gt,14050,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2040540.0,368,1,0.0199,358,10,2,103547,7.36989,,0,0,43381,0,,,,,
Instances/Instances 1/brd14051_05.gt,14050,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1236617.0,184,1,0.0168,180,7,1,74978,5.33651,,0,0,25588,0,,,,,
Instances/Instances 1/brd14051_06.gt,14050,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,768899.0,76,1,0.0137,72,4,1,46317,3.29658,,0,0,2387,0,,,,,
Instances/Instances 1/brd14051_07.gt,14050,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,613871.0,40,1,0.0131,36,3,1,33383,2.37601,,0,0,5030,0,,,,,
Instances/Instances 1/brd14051_08.gt,14050,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,535568.0,20,1,0.0128,19,2,1,27341,1.94598,,0,0,0,0,,,,,
Instances/Instances 1/brd14051_09.gt,14050,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,494413.0,9,1,0.0108,8,1,1,14050,1.0,,0,0,0,0,,,,,
Instances/Instances 1/brd14051_10.gt,14050,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,487545.0,7,1,0.0111,4,1,1,14050,1.0,,0,0,24890,0,,,,,
Instances/Instances 1/ca4663_01.gt,4662,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0063,1182,9,3,16388,3.51523,,0,0,12786,0,,,,,
Instances/Instances 1/ca4663_02.gt,4662,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.006,592,7,3,14590,3.12956,,0,0,19432,0,,,,,
Instances/Instances 1/ca4663_03.gt,4662,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0058,239,5,2,11781,2.52703,,0,0,32114,0,,,,,
Instances/Instances 1/ca4663_04.gt,4662,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0056,119,3,2,9900,2.12355,,0,0,40290,0,,,,,
Instances/Instances 1/ca4663_05.gt,4662,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0057,59,3,2,7751,1.66259,,0,0,31242,0,,,,,
Instances/Instances 1/ca4663_06.gt,4662,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0055,24,2,1,5233,1.12248,,0,0,21036,0,,,,,
Instances/Instances 1/ca4663_07.gt,4662,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0055,12,1,1,4662,1.0,,0,0,83800,0,,,,,
Instances/Instances 1/ca4663_08.gt,4662,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0055,6,1,1,4662,1.0,,0,0,116358,0,,,,,
Instances/Instances 1/ca4663_09.gt,4662,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0056,3,1,1,4662,1.0,,0,0,116358,0,,,,,
Instances/Instances 1/ca4663_10.gt,4662,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,NO SOLUTION,,,0.0054,2,1,1,4662,1.0,,0,0,116358,0,,,,,
Instances/Instances 1/ch130_01.gt,129,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,23377.0,36,2,0.0035,33,22,2,1872,14.5116,,0,0,39,0,,,,,
Instances/Instances 1/ch130_02.gt,129,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,14025.0,20,1,0.0025,17,15,1,1130,8.75969,,0,0,11,0,,,,,
Instances/Instances 1/ch130_03.gt,129,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,9031.0,8,1,0.0023,7,7,1,472,3.65891,,0,0,0,0,,,,,
Instances/Instances 1/ch130_04.gt,129,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7424.0,5,1,0.0023,4,4,1,311,2.41085,,0,0,0,0,,,,,
Instances/Instances 1/ch130_05.gt,129,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6533.0,2,1,0.0027,2,2,1,175,1.35659,,0,0,0,0,,,,,
Instances/Instances 1/ch130_06.gt,129,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6291.0,1,1,0.0027,1,1,1,129,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch130_07.gt,129,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6291.0,1,1,0.0025,1,1,1,129,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch130_08.gt,129,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6291.0,1,1,0.0025,1,1,1,129,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch130_09.gt,129,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6291.0,1,1,0.0023,1,1,1,129,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch130_10.gt,129,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6291.0,1,1,0.0024,1,1,1,129,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch150_01.gt,149,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,28985.0,44,2,0.0026,41,23,2,2433,16.3289,,0,0,83,0,,,,,
Instances/Instances 1/ch150_02.gt,149,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,15615.0,21,1,0.0023,18,15,1,1333,8.94631,,0,0,25,0,,,,,
Instances/Instances 1/ch150_03.gt,149,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,9611.0,9,1,0.0023,8,8,1,623,4.18121,,0,0,0,0,,,,,
Instances/Instances 1/ch150_04.gt,149,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,8060.0,5,1,0.0023,4,4,1,371,2.48993,,0,0,0,0,,,,,
Instances/Instances 1/ch150_05.gt,149,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7467.0,3,1,0.0023,3,3,1,226,1.51678,,0,0,0,0,,,,,
Instances/Instances 1/ch150_06.gt,149,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7281.0,1,1,0.0022,1,1,1,149,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch150_07.gt,149,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7281.0,1,1,0.0021,1,1,1,149,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch150_08.gt,149,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7281.0,1,1,0.0022,1,1,1,149,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch150_09.gt,149,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7281.0,1,1,0.0022,1,1,1,149,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch150_10.gt,149,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7281.0,1,1,0.0022,1,1,1,149,1.0,,0,0,0,0,,,,,
Instances/Instances 1/ch71009_01.gt,71008,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,314697654.0,10228,6,0.1498,18082,22,8,686158,9.66311,,0,0,869937,0,,,,,
Instances/Instances 1/ch71009_02.gt,71008,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,157714607.0,6667,5,0.1306,9046,17,6,582177,8.19875,,0,0,1168005,0,,,,,
Instances/Instances 1/ch71009_03.gt,71008,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,64684308.0,3536,3,0.102,3618,11,4,444326,6.25741,,1,0,1224112,0,,,,,
Instances/Instances 1/ch71009_04.gt,71008,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,34256373.0,1837,2,0.0881,1809,8,3,348950,4.91424,,0,0,954074,0,,,,,
Instances/Instances 1/ch71009_05.gt,71008,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,19367843.0,923,1,0.0772,906,6,2,266381,3.75142,,0,0,774259,0,,,,,
Instances/Instances 1/ch71009_06.gt,71008,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,10872483.0,375,1,0.0681,362,4,2,180895,2.54753,,0,0,416939,0,,,,,
Instances/Instances 1/ch71009_07.gt,71008,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,8261810.0,204,1,0.0612,181,3,1,138102,1.94488,,0,0,407144,0,,,,,
Instances/Instances 1/ch71009_08.gt,71008,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,7108473.0,120,1,0.0579,91,2,1,98966,1.39373,,0,0,294447,0,,,,,
Instances/Instances 1/ch71009_09.gt,71008,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6671779.0,84,1,0.055,37,1,1,71008,1.0,,1,1,655207,0,,,,,
Instances/Instances 1/ch71009_10.gt,71008,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6650715.0,82,1,0.0562,19,1,1,71008,1.0,,1,1,874242,0,,,,,
Instances/Instances 1/d1291_01.gt,1290,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,768417.0,261,5,0.0065,346,27,5,27534,21.3442,,0,0,7093,0,,,,,
Instances/Instances 1/d1291_02.gt,1290,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,367546.0,158,3,0.0053,159,19,3,19024,14.7473,,0,0,4151,0,,,,,
Instances/Instances 1/d1291_03.gt,1290,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,178154.0,70,1,0.0042,67,12,2,12358,9.57984,,0,0,2261,0,,,,,
Instances/Instances 1/d1291_04.gt,1290,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,110025.0,35,1,0.0037,33,8,1,8630,6.68992,,0,0,1992,0,,,,,
Instances/Instances 1/d1291_05.gt,1290,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,78610.0,18,1,0.0033,17,6,1,5844,4.53023,,0,0,871,0,,,,,
Instances/Instances 1/d1291_06.gt,1290,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,61167.0,8,1,0.0031,7,4,1,3425,2.65504,,0,0,392,0,,,,,
Instances/Instances 1/d1291_07.gt,1290,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,56230.0,5,1,0.0031,4,2,1,2182,1.69147,,0,0,0,0,,,,,
Instances/Instances 1/d1291_08.gt,1290,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,53710.0,2,1,0.0031,2,2,1,1808,1.40155,,0,0,0,0,,,,,
Instances/Instances 1/d1291_09.gt,1290,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,53688.0,1,1,0.003,1,1,1,1290,1.0,,0,0,0,0,,,,,
Instances/Instances 1/d1291_10.gt,1290,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,53688.0,1,1,0.0039,1,1,1,1290,1.0,,0,0,0,0,,,,,
Instances/Instances 1/d15112_01.gt,15111,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,53788704.0,2388,5,0.0308,3841,17,6,135457,8.96413,,0,0,134730,0,,,,,
Instances/Instances 1/d15112_02.gt,15111,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,27647861.0,1647,4,0.0255,1939,13,5,109720,7.26094,,0,0,151588,0,,,,,
Instances/Instances 1/d15112_03.gt,15111,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,11626925.0,784,2,0.0209,767,8,3,78307,5.18212,,0,0,112541,0,,,,,
Instances/Instances 1/d15112_04.gt,15111,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,6549550.0,399,1,0.0171,386,6,2,59639,3.94673,,0,0,86344,0,,,,,
Instances/Instances 1/d15112_05.gt,15111,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3986206.0,197,1,0.0151,192,4,1,44612,2.95229,,0,0,49759,0,,,,,
Instances/Instances 1/d15112_06.gt,15111,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2517833.0,82,1,0.0137,78,3,1,30032,1.98743,,0,0,37294,0,,,,,
Instances/Instances 1/d15112_07.gt,15111,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2016391.0,41,1,0.0121,39,2,1,20799,1.37641,,0,0,10705,0,,,,,
Instances/Instances 1/d15112_08.gt,15111,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1832536.0,24,1,0.012,20,1,1,15111,1.0,,0,0,64869,0,,,,,
Instances/Instances 1/d15112_09.gt,15111,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1819674.0,24,1,0.0119,8,1,1,15111,1.0,,0,0,91309,0,,,,,
Instances/Instances 1/d15112_10.gt,15111,100000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1819674.0,24,1,0.0121,4,1,1,15111,1.0,,0,0,91309,0,,,,,
Instances/Instances 1/d1655_01.gt,1654,100.0,86400.0,PTVRP_LAYERED_CONT_FIX,920931.0,323,4,0.0072,419,26,6,34932,21.1197,,0,0,8585,0,,,,,
Instances/Instances 1/d1655_02.gt,1654,200.0,86400.0,PTVRP_LAYERED_CONT_FIX,497810.0,213,2,0.0071,215,19,3,25653,15.5097,,0,0,5466,0,,,,,
Instances/Instances 1/d1655_03.gt,1654,500.0,86400.0,PTVRP_LAYERED_CONT_FIX,221226.0,87,1,0.0047,84,11,2,16235,9.8156,,0,0,2387,0,,,,,
Instances/Instances 1/d1655_04.gt,1654,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,139737.0,45,1,0.0041,42,8,1,11443,6.91838,,0,0,1136,0,,,,,
Instances/Instances 1/d1655_05.gt,1654,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,97963.0,24,1,0.0037,22,6,1,7915,4.78537,,0,0,824,0,,,,,
Instances/Instances 1/d1655_06.gt,1654,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,74780.0,11,1,0.0034,9,4,1,4589,2.77449,,0,0,384,0,,,,,
Instances/Instances 1/d1655_07.gt,1654,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,67599.0,5,1,0.0033,5,3,1,3313,2.00302,,0,0,684,0,,,,,
Instances/Instances 1/d1655_08.gt,1654,20000.0,86400.0,PTVRP_LAYERED_CONT_FIX,66176.0,3,1,0.0033,3,2,1,2527,1.52781,,0,0,0,0,,,,,
Instances/Instances 1/d1655_09.gt,1654,50000.0,86400.0,PTVRP_LAYERED_CONT_FIX,65597.0,1,1,0.0034,1,1,1,1654,1.0,,0,0,0,0,,,,,
