instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,gap_vs_first
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_LAYERED,3468503.0,239,2,0.0084,233,6,2,34194,3.73664,,,,,,0.0
Instances/Instances 1/ar9152_04.gt,9151,1000.0,86400.0,PTVRP_LAYERED_CONT_FIX,3468503.0,239,2,0.0087,233,7,2,40490,4.42465,,0,0,56245,0,0.0
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP,2131437.0,123,1,0.0172,,,,,,,,,,,
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_CONT,2131437.0,123,1,0.2107,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_CONT_FIX,2131437.0,123,1,0.0211,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_LAYERED,2131437.0,123,1,0.0074,118,5,1,25829,2.82253,,,,,,0.0
Instances/Instances 1/ar9152_05.gt,9151,2000.0,86400.0,PTVRP_LAYERED_CONT_FIX,2131437.0,123,1,0.0078,118,5,1,29585,3.23298,,0,0,41757,0,0.0
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP,1329482.0,51,1,0.0238,,,,,,,,,,,
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_CONT,1329482.0,51,1,0.2138,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_CONT_FIX,1329482.0,51,1,0.0287,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_LAYERED,1329482.0,51,1,0.0068,47,3,1,18058,1.97334,,,,,,0.0
Instances/Instances 1/ar9152_06.gt,9151,5000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1329482.0,51,1,0.0069,47,3,1,19246,2.10316,,0,0,13602,0,0.0
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP,1090437.0,27,1,0.03,,,,,,,,,,,
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_CONT,1090437.0,27,1,0.2134,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_CONT_FIX,1090437.0,27,1,0.0359,,,,,,0,,0,,,0.0
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_LAYERED,1090437.0,27,1,0.0064,24,2,1,13452,1.47,,,,,,0.0
Instances/Instances 1/ar9152_07.gt,9151,10000.0,86400.0,PTVRP_LAYERED_CONT_FIX,1090437.0,27,1,0.0066,24,2,1,15008,1.64004,,0,0,20323,0,0.0
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP,986552.0,15,1,0.042,,,,,,,,,,,
Instances/Instances 1/ar9152_08.gt,9151,20000.0,86400.0,PTVRP_CONT,986552.0,15,1,0.2255,,,,,,0,,0,,,0.0
