instance,n,Q,horizon,solver,cost,templates,max_m,seconds,K_full_tour,K_allocated,max_layer_used,layer_iterations,eff_K,revived_arcs,revived_starts,revived_improving,infeasible_skips,unsafe_pops,blocked_pops,unsorted_queries,arcs_scanned,arcs_unsound_stop,gap_vs_first
Instances/Instances 1/d15112_03.gt,15111,100.0,86400.0,PTVRP,53486510.0,2389,5,0.0258,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_04.gt,15111,100.0,86400.0,PTVRP,53894103.0,2382,5,0.0248,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_05.gt,15111,100.0,86400.0,PTVRP,53460057.0,2426,5,0.022,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_06.gt,15111,100.0,86400.0,PTVRP,54161669.0,2467,5,0.0264,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_07.gt,15111,100.0,86400.0,PTVRP,53932504.0,2431,6,0.0237,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_08.gt,15111,100.0,86400.0,PTVRP,53980038.0,2398,5,0.0244,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_09.gt,15111,100.0,86400.0,PTVRP,54274313.0,2419,6,0.025,,,,,,,,,,,,,,,
Instances/Instances 1/d15112_10.gt,15111,100.0,86400.0,PTVRP,53524620.0,2463,5,0.0233,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_01.gt,1654,100.0,86400.0,PTVRP,920931.0,323,4,0.0077,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_02.gt,1654,100.0,86400.0,PTVRP,952252.0,335,3,0.0072,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_03.gt,1654,100.0,86400.0,PTVRP,916468.0,329,4,0.0077,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_04.gt,1654,100.0,86400.0,PTVRP,925568.0,300,4,0.0091,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_05.gt,1654,100.0,86400.0,PTVRP,925252.0,320,5,0.0076,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_06.gt,1654,100.0,86400.0,PTVRP,927721.0,345,4,0.0073,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_07.gt,1654,100.0,86400.0,PTVRP,941813.0,318,4,0.0087,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_08.gt,1654,100.0,86400.0,PTVRP,943382.0,326,4,0.0095,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_09.gt,1654,100.0,86400.0,PTVRP,950915.0,328,4,0.0074,,,,,,,,,,,,,,,
Instances/Instances 1/d1655_10.gt,1654,100.0,86400.0,PTVRP,951356.0,324,4,0.008,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_01.gt,18511,100.0,86400.0,PTVRP,24130075.0,2865,6,0.0356,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_02.gt,18511,100.0,86400.0,PTVRP,23849978.0,2831,5,0.0342,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_03.gt,18511,100.0,86400.0,PTVRP,24156640.0,2808,7,0.0326,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_04.gt,18511,100.0,86400.0,PTVRP,24042189.0,2869,6,0.0339,,,,,,,,,,,,,,,
Instances/Instances 1/d18512_05.gt,18511,100.0,86400.0,PTVRP,24062963.0,2846,6,0.0357,,,,,,,,,,,,,,,
